title,url,material,colors,dimensions,artist
Ornament met leeuw en ram,https://lh5.ggpht.com/qxlbIDaKLgYC_HwORQnE5U-5lgCn7NWRc7RQV2Em1rYaDJZPcJJoCB0mNy22gsYz7f7qhTRKr_nLIeEdaJknNMxtSWg=s0,papier,"[{'percentage': 72, 'hex': '#737C84'}, {'percentage': 13, 'hex': ' #FBF6E1'}, {'percentage': 8, 'hex': ' #E0CC91'}, {'percentage': 4, 'hex': ' #2F4F4F'}]",96 x 160,Monogrammist HW (15e eeuw)
Portret van David Wendeler,https://lh3.googleusercontent.com/0Or_aZEIHAEQ4XW9gxii7TQSckSjxeBMrvxgzkXeu5PND_Yq5YbAjRAZCbyegAT0ceMnSgMZBGbvHUxquRWbWc17jGqdefEKK4tACfpZ=s0,papier,[],258 x 190,Jakob von Sandrart
Vaas en schaal van majolica,https://lh3.googleusercontent.com/QNMmWnE_t2BaSjyhQFlByRxePwOv9QX08jQ0j56btdWzvPM_yw89YHVyuZu45lTzm11HJ-xIN1cpz3Sf1TSHdFzC714=s0,fotodrager,[],102 x 136,anoniem
"La Nouvelle Mode, No. 1: 1 Janvier 1900: pagina 6",https://lh3.googleusercontent.com/p2UL9cYR2MJSvswCyqw04zXeNkKdGRr1LwkEF1Fwj54Ei8GWHALpFnJNuce5FA4zrAGaVlvIihVmXp23LpSHnMi6XCug=s0,papier,[],315 x 235,anoniem
"Kaart van Friesland, Groningen en Oost-Friesland",https://lh3.googleusercontent.com/K0lsa5pdT-J7C3DWvGDwwfKe4pzsYZvevoLD0abSv_8J2O4eIxb2LjSka4hSF75smFZQu498qxgRdHpOq7Pv8AGu0k0=s0,papier,[],466 x 558,Abraham Goos
Reinaert de vos berispt de gewonde Bruun de beer,https://lh5.ggpht.com/ybpgfqt2VSCDjE5zhvpsV_A80b2i5oM-7N0np2mKsKwGxZ3256G8dppmcvT96SN2IliKbNA_s6eJyLJojcEEvd6rCEM=s0,papier,"[{'percentage': 52, 'hex': '#FBF6E1'}, {'percentage': 21, 'hex': ' #737C84'}, {'percentage': 14, 'hex': ' #2F4F4F'}, {'percentage': 8, 'hex': ' #E0CC91'}, {'percentage': 3, 'hex': ' #000000'}]",93 x 116,Allaert van Everdingen
Kussensloop van linnen met een tussenzetsel van Hollandse kant.,https://lh3.googleusercontent.com/_U5pLr4TtFuh91X7v7namBYiiNjYcw2O7n-R94QyB94T9fsfjDxj-vEN-vxsyuzeGY5MK9eHhJiSq91cYZvwMmyT8uekcCdTv-HqxKlbrQ=s0,linnen,[],"46,5 x 33,5",
Portret van Georg Heinrich Paricius op 33-jarige leeftijd,,papier,[],142 x 86,Wolfgang Philipp Kilian
"Beurs van gebreide witte en blauwe wol, voorzien van twee stalen ringen",https://lh5.ggpht.com/ZXCWhZdcUEqXd-EU5TYSG8PYZf8i9t-MLClqlmEhnwqoTRU9ckctUpDZ_tFeT2igCIn26f-yLB-1MZKBbIo1kNjaaw=s0,wol,"[{'percentage': 94, 'hex': '#FBF6E1'}, {'percentage': 5, 'hex': ' #737C84'}, {'percentage': 0, 'hex': ' #2F4F4F'}, {'percentage': 0, 'hex': ' #000000'}]","18 x 2,5",Petronella Moens
"Gastvrije ontvangst van de Franse vluchtelingen, penning door hen aan de stad Utrecht geschonken",https://lh3.googleusercontent.com/SiF1Nqj2DND-NXUZ874dvZ1EAfXKLklEBD9L06pd36Flprp4CHRN1jJCW_ytY5vgQZGG3SSlknZhvmrKpnCxbZrnrF0eMMFMeuo1eaFc4g=s0,zilver,[],"4,3 x 37,53",anoniem
Fragment van een schotel,https://lh3.googleusercontent.com/2uPYglqC4I3abeO3HL7x7wnUecJkHPvPWhf-6y0csYertNLcXtkCe_sN-wvThxTWu_B42vMFDGnA57aPgLlSKnqK-6iE-ACT9jOApGqJ=s0,aardewerk,[],2 x 6,anoniem
Weg langs de rotsen,https://lh4.ggpht.com/xmzotTNeHO1zo28jiMqRup-V6ohjxBX42c5fAFJApK4GDrrux1sRSkgCJdfhaCNtAZ09Xcsr_qAVqw6u3eFk31Cs7w=s0,papier,"[{'percentage': 61, 'hex': '#FBF6E1'}, {'percentage': 30, 'hex': ' #737C84'}, {'percentage': 7, 'hex': ' #2F4F4F'}]",131 x 160,Abraham Genoels
Wandbord met het patroon ‘Dag’,https://lh3.googleusercontent.com/ksjRJ8_7_BuOuElRkx3bClTKrtMWnmH4b5eqaJij5KiIM8_gVr34HF9_imqmyYfK5fzVbcDvz9b1NJs9fvU0SHK3Cw=s0,aardewerk,"[{'percentage': 39, 'hex': '#E0CC91'}, {'percentage': 30, 'hex': ' #FBF6E1'}, {'percentage': 10, 'hex': ' #737C84'}, {'percentage': 10, 'hex': ' #981313'}, {'percentage': 8, 'hex': ' #4019B1'}]","4,2 x 38,5",Theo Colenbrander
Fotoreproductie van een gezicht worstelende mensen bij de Stabiaanse Thermen,https://lh3.googleusercontent.com/Rx3FaaFCSDXVLoGShWb1U6VLRnfc0Uj8bWeGCeqKzmFClVo6hKJzyaJr-qJps2PLihqlC0oWwKkld6-sNUNdPJtIbA=s0,fotodrager,[],120 x 184,anoniem
"Gezicht op de zaal van de nieuwe Amsterdamse Schouwburg op het Leidseplein, 1774",https://lh4.ggpht.com/3tXrHvTbU_nNEpGAc1OfEYWoAdjUi6s4TG91q-wi2hDALWdOyfmNZAN7yZRFd4gxdLceAz-RQg-ZL3gH5zrU4wMsS_4=s0,papier,[],200 x 267,Noach van der Meer (II)
Apostel Paulus schrijft zijn brief aan de Korinthiërs,https://lh3.googleusercontent.com/csZqNmYINphBSR0-odLHqxfxXKrnbZdiNy7O3km8GRlKM24JMfGrHtWKD-vDJeIW0jsakDQ58jGtMT-3owUDxCug3tSHTiBdrxmGV-8S3g=s0,papier,[],121 x 80,anoniem
"Titelpagina van het boekje: XXXVI. aartige figuuren, geinventeert door Izaak van Ostade tot Haarlem [1731-1732]",https://lh3.googleusercontent.com/NdIDgCC2gUXpshxR-lSMObuuzk8u8GDIYde6jsvr5KvFL98gUSnP02Gt2CuCq__wqk3jwnoHsbFDiFTbOpsWgEOyGMi8ckTsi9YjjWM=s0,papier,[],195 x 155,Izaak Enschedé
Spiegel,https://lh3.googleusercontent.com/QusFoc37zeoYOVU8fgLOHdA0lfZWdiLf9hlFgHnceiMn_mEoDySFDkimSW-95h98ckMVAYTXDyX2WV0W9ecDeYV8r04=s0,papier,[],278 x 190,anoniem
Bord met een boeket en bloemtakken,https://lh3.googleusercontent.com/tCu8Cfwmwvnbeftb_SI7Ngb5E_UKrwFoiMI_oeIhfvrWdDQMYES8p5x31nG9YzePf-YPcNKjbSmV4IM7O8oXkNXYd201b6EkKnimyp1l=s0,porselein,[],"3,8 x 24,3",Kaiserliche Porzellanmanufaktur
Schilderijlijst,https://lh3.googleusercontent.com/QNrsIXH0b8eapaGWQcCXGJeDBJ_216e1rwgA0fapHaTEMm1rEc93nfnXLBDK5r8hy9gPZoSwQgeo-bSoIVJUdNr6PPzJUHjXgkoDfPo=s0,hout,[],"24,0 x 21,5",anoniem
"Dames-modegids, 15 oktober 1881, No. 674",https://lh3.googleusercontent.com/hwuylERMo6wNZBc5GPX-fLdg4Xy5bsogUrc2EbPTXIaaLBmrtNKs6OmlVD43RDAPEaB8YravvBvqrYNNlv0wS23-kZmA=s0,papier,[],374 x 263,anoniem
Reproductie van een tekening van een vluchtende Androclus,https://lh3.googleusercontent.com/nXHtN7GbWzE0VRPgd6DEifXstb1abSgJe0Uv3VnX0upJtequHEjyw686KMTijkNlZNdC1Sw12hfqOQYKw-kc2lsrn_uM32zJQW_2Srfx=s0,papier,[],81 x 45,anoniem
Gezicht op de Boog van Septimius Severus op het Forum Romanum in Rome,https://lh3.googleusercontent.com/1FA0vqQJva0LYE87s5rBTm-TpXtCzxIsPa_FKo4nW0r-67cczG3LJUniSMjabIUIYkfuTpn06pLl6heSy4evgbj9-84=s0,karton,[],108 x 167,anoniem
So habe ich das Christentum nicht gemeint! Wahlt Christlichsozial,,papier,[],940 x 671,Mihály Biró
Man met baard in bontjas en met bontmuts (de vader van Rembrandt?),https://lh3.googleusercontent.com/IPy9gS0f4ufiAMac-x3ePjkZBkVl6CKcUobzCG2IwVwEPGgaj3KCBtpDXgoR34AOS364SIkrkjLJw525XzwS2ZG6Dw=s0,papier,[],158 x 127,Constantino Cumano
Stamboom van Maria de Medici,https://lh6.ggpht.com/y-tvU2etd8TbzmcBFsy0a_AQ1RBvo0YzeTCEubW6EVLXg8ljLTGytMkdJKaYJsxUfm3F1oyU78_017KvdL7BfQhLB4g=s0,papier,[],245 x 163,Cornelis Galle (II)
"Kerkobject, Maria met kind reliëf van Donatello",https://lh3.googleusercontent.com/G_Fr4rfVhQWvodLt7G40UmbuRIMKzl5wwUy6WtovCqH21zO8-vjabf2zdyEZUCj88diqu9D1WRa5OLge_UTrJnvw2l1m7SGIThepTOwf=s0,fotodrager,[],148 x 98,anoniem
"Zes microscoopopnamen van bacteriën, waaronder tuberculose en leprabacillen",https://lh3.googleusercontent.com/7Z8O9epSKQGM560H2ExVYVkD1Qeuard-wdlfgly6LlzKfk-xS56Jp39ugbnzCYrlfs2xW1Zy71aOSnlIXdAIHcZcKIHnzXkI-Yv0dw=s0,papier,[],242 x 165,Carl Günther
Beeldhouwwerk de maagd van Michelangelo,https://lh3.googleusercontent.com/yu5yidTRmWXb2uCJ-heS3BY60xTiGxK1EC1gzOtJkQOPQSBySnvpYfPumMni6ixdv9thPC1RNmNbKtZerRq7890vJg=s0,karton,[],165 x 108,Léon & Lévy
Stierenvechten in een arena,https://lh3.googleusercontent.com/ycig-xH5NVHjV_j7koTYkaGw9a01vP900g7YHUEj00-OWWuqCsyxVIk2KMLa8L9u-e9RwGJwtu5BN5HJDTZs0lP45IO9v_xN3Ay-UonC=s0,papier,[],61 x 114,Henri Charles Guérard
Twee slapende kinderen en twee beschermengelen,https://lh3.googleusercontent.com/Zwt3eWjPF_R5KZfaqHe6FV1qtxPRnuHTnPj2tBBGiOAJuVC1BbvuSiyOn8jcW8HIGns270u-OH6pxk3nJ5m1pxwr-w=s0,karton,[],84 x 174,Alfred Silvester
Dansend en musicerend gezelschap bij een boerderij,https://lh3.googleusercontent.com/FX-JANYJNCOenpZjRcjgpMd9ShYyw7jNAJVHOGtE-W1_Knml32ZsTIYIIDXOPWU2yasraxtNj_gmXJTxY42rVZZJueIzlre6TeG3U0wS=s0,papier,[],182 x 265,Christian Gottfried Heinrich Geissler
"Portret van Willem III, prins van Oranje",https://lh3.ggpht.com/-3Ht8pKDfKZnAgocxSxW9mIVDN97LcTtPO3-2JlZyq5ZSR4XBE0_UvAAVV8BFMkH_GCHN4JWlMpfdr0cjDld--pht4hF=s0,papier,[],205 x 177,anoniem
Portret van de admiraal en politicus Andreas Miaoulis,https://lh3.googleusercontent.com/c4BXIWreTQOVFiUMITKoNSxJRDx_mFrboijFbAYuQzU8-yuUtS6w1kL-p8Z1GugJMFEfXyZHJGFJ4DTt8RDC2ByN1jh_JPua4HC4XwnV=s0,papier,[],505 x 342,Zéphirin Félix Jean Marius Belliard
Monument met twee staande figuren en twee stroomgoden,https://lh4.ggpht.com/-5ZmZm5zGlvRx3tLFr_ipSanwBWiaH4pF3Cbat87HvuB9IYwrAz_-clxYbSdfsSAyLYvIk-1HGOivNbzgPSaUxDTztpK=s0,papier,"[{'percentage': 33, 'hex': '#B35A1F'}, {'percentage': 23, 'hex': ' #000000'}, {'percentage': 16, 'hex': ' #2F4F4F'}, {'percentage': 14, 'hex': ' #FBF6E1'}, {'percentage': 11, 'hex': ' #E0CC91'}]",74 x 94,anoniem
"La photographie ses origines, ses progrès, ses transformations",https://lh3.googleusercontent.com/Qz14YTYZg_bD7XVHqXpDdmfoFCZw3E10zgBtABh91AWxio7t-l9omU4KrfTB5FnWSGotPhjMwHjVJ9zDR4s1_nkFSg=s0,papier,[],203 x 133,Louis-Désiré Blanquart-Evrard
"Man, vrouw en kind in een fotostudio",https://lh3.googleusercontent.com/-A6nytxsR8V574zdfGZlpjjRNyA1s52l5T1q9dgEPg8PhzsSB8WpkFaUT718rTzcuOhIpcbpK8f_qOFILsdMmXLvb6Sp6vHSET2EizM=s0,karton,[],91 x 139,anoniem
Draad spinnende vrouwen,,fotodrager,[],272 x 208,Étienne Neurdein
Plattegrond van de heerlijkheid Maarsseveen,https://lh4.ggpht.com/LY6_kjUvX_IHgZnoinXHJZ0ewkL2SA3A8_HcP7HiHqcnDmjd7AtTXxiKqlHEqp4376wRxPV0982b3I8TF7ABISYcXw=s0,papier,"[{'percentage': 46, 'hex': '#FBF6E1'}, {'percentage': 37, 'hex': ' #E0CC91'}, {'percentage': 12, 'hex': ' #737C84'}, {'percentage': 3, 'hex': ' #2F4F4F'}]",458 x 655,Philibert Bouttats
"Detail van het monument Cova Chierichetti, Cimitero Monumentale, Milaan, Italië",https://lh3.googleusercontent.com/wgT1xvVnBo7BdYQEj-o44tkK7BFoYlYP07OUUwHKaCGNo7jx2_VBxBWJSC1IHqUIFYZT3AKYamNU1iMDmz-7CnlJc7RxqX_5sVe-4kiS=s0,papier,[],250 x 204,Edizione Brogi
Kaart van het Hoogheemraadschap van Delfland (achttiende deel),https://lh3.googleusercontent.com/_-KhnDwA7V5IzajkgZ3bDMttxGuMyiH2h7j_ifzRVw3BsYwKsMm1o5pmyt5zRqMj7QBHV4AJXqNedGGevSF01JGt1Q=s0,papier,[],515 x 593,Luggert van Anse
Dienststelle 23 443,https://lh3.googleusercontent.com/jd2AX5V74Xa3xXDshI2Nhz1-ar91gOIFUWI6mQ7WL8s38iwwJMPoNQpVCEgTQAaSQB3OHdm3Q2Q_3dRTaWScNjCvr4Xn17JI-W7I5XRH=s0,papier,"[{'percentage': 48, 'hex': '#E0CC91'}, {'percentage': 31, 'hex': ' #737C84'}, {'percentage': 12, 'hex': ' #FBF6E1'}, {'percentage': 4, 'hex': ' #000000'}, {'percentage': 3, 'hex': ' #981313'}]",90 x 60,anoniem
Presentatie van Christus in de tempel,https://lh3.googleusercontent.com/Rez_9Ic_U8vcogzMNYgBDlIWDG4rKEeQua0aI4pY--fFKZJN5n1HPoJehk-d560Q76xHv-0R_U5dD9mMtbPl_DbxNGhpP-GJfvdCeAg=s0,papier,[],307 x 237,Joachim Martin Falbe
Landschap met bomen en herders,https://lh3.googleusercontent.com/zXsysMJHo34JSMMpMMCDQJM73vZHc7rqaXnnqL1AnDOHcC1m_LWtp8yP0r0t0tEYvELHKxNMBpkOliyDP0-26eLCQQs=s0,papier,[],117 x 143,Jean Alexis Achard
"Portret van een vrouw, aangeduid als Mme. Fuighart",,karton,[],105 x 62,anoniem
Portret van Gottlieb Wilhelm Rabener,https://lh3.googleusercontent.com/1BWfjVh41AVVNEeNgBPWA5inB4Cr8jmSC4_32FmcRERupxL68e8WHi_ENqtLduMj7rg1QLchAtMU0ttG8tmFvtfgcoJ0nxHvraygIMEQ=s0,papier,[],228 x 156,Johann Esaias Nilson
Theeservies op dienblad (déjeuner Bolvry),https://lh4.ggpht.com/r9NgtMQ-t3Yxas8IGjjobVcXZtdmvgr0Ad3NB2LaEu5x22NGn63iHpuciqiSql9BbRKXKk4GeVri6NrrRnbFsjqrXCc=s0,porselein,"[{'percentage': 87, 'hex': '#E0CC91'}, {'percentage': 9, 'hex': ' #737C84'}, {'percentage': 2, 'hex': ' #FBF6E1'}, {'percentage': 0, 'hex': ' #B35A1F'}, {'percentage': 0, 'hex': ' #B5BFCC'}]","6,0 x 7,8",Manufacture de Sèvres
"Portret van Willem II, koning der Nederlanden",https://lh5.ggpht.com/DLEZr-YQTM8L_Xbhq6O4Cdqms6Yarqx2nyfEjwgNYcjr9hLCSDaj69Ox3Fuqa8tmbjiQ_oaquCsdrBk4PCJFbD4mURM=s0,papier,[],286 x 251,Willem van Senus
Portret van twee mannen van de Ngbandi,https://lh3.googleusercontent.com/QWzVs3iNT0PJUlA7SJjn88WST1woJLQEeWIb2HaSeR91VS3eCjsB-u7fZsxBA5ng8EXNWY1pp_5giPs5xz4F5yUPXMg=s0,papier,[],162 x 108,Franz Thonner
"Kristallen fles, gegraveerd, uit het Louvre",https://lh4.ggpht.com/lyF849kzTMr2SI0jgoSPxFUfNTF7g3U1FXNCDkFMyU0AYEjs6pG6i0_RE63S8rUb7sMpk2HRxYwKaCwIQy1QEoGSrVbM=s0,papier,[],283 x 196,Charles Thurston Thompson
Verzoeking van Christus in de woestijn,https://lh6.ggpht.com/kPU3cTxWYtYO7agHcBKNy0CYa8zNAvITtow-L1HZM3Wtp973OUQzdSloGF2ONPJMJb5869tWa3qzG0WKS7rTJ0G4YHM=s0,papier,"[{'percentage': 50, 'hex': '#737C84'}, {'percentage': 26, 'hex': ' #FBF6E1'}, {'percentage': 18, 'hex': ' #E0CC91'}, {'percentage': 4, 'hex': ' #2F4F4F'}]",179 x 220,Cornelis Galle (I)
"Portret van kind met hond, mogelijk Willem, hertog van Gloucester",https://lh3.googleusercontent.com/pwjOEMGxYzRFgTSpgSa2E08aWc0veyc3tTzfOkQpseL1JD68uylmaY7Ny3jvykm6uugP4SorryQx96pfkM3s5t9ZMgatHNWm25wnZVrW=s0,papier,[],243 x 190,Isaac Beckett
Vrouw met bloemen in landschap,https://lh3.googleusercontent.com/s28BFxuxhsrT0Zn08h0hAF8vXHARv7eEZiAK9yrpnfAwSmegHE0ep37EtDFMu3XhkoORX5lZNzejmx7r_Wb5r22JaTodYbhXKlBR1ccE=s0,papier,[],223 x 406,Jean Moyreau
"Dionijs Wijnands (1628-73), koopman te Amsterdam",https://lh3.googleusercontent.com/zT8r8SonknVXWMQizO-wqw_M3RBKqqZbHEKPJJrYRTQS9wmnv8BVWqIavzG6yVCQdiA4V0V6YsPFq7VNtPQVlZ1rg2Bf=s0,koper,[],"20,5 x 16",Jan van Noordt (1623-1676)
"Journal des Dames et des Modes 1822, Costume Parisien  (2055)",https://lh3.googleusercontent.com/OaIxWDzKjUHG2ZVklstB47cTIqTb1H0WNphKAwoB5PXuMRG-gSaR1h8wYX8R6n9F7YC15eg6vfEJPWPRmtdwV1jEJ0s=s0,papier,[],None x None,anoniem
Dokter voelt de pols van een vrouw,https://lh3.googleusercontent.com/3623bzi13fOegq1Q4tw1XuE6PwecQFPmsZ_GCEQHbbRQIeAH5Y1U7FnqGPDuCeBS6p5JCqFC5on_2CQ5MerycUdccZsypm9XcoFyGSKM=s0,papier,[],501 x 362,Hendrik Wilhelmus Last
Kasteel IJzendoorn in de Betuwe,https://lh4.ggpht.com/lt5NzMtkTzzobjurV3kZ4ExVPDYPA7UxpIZHGt1LBn-6vGDHtL6jaPZexnrDNRfLG1ZlF21rE8G9ann2CW80vbBVb8U=s0,papier,"[{'percentage': 57, 'hex': '#FBF6E1'}, {'percentage': 24, 'hex': ' #E0CC91'}, {'percentage': 15, 'hex': ' #737C84'}, {'percentage': 2, 'hex': ' #2F4F4F'}]",413 x 507,Jacob van Strij
Gezicht op de watervallen van Tivoli,https://lh3.googleusercontent.com/u7TtAZ8lxeea50uoVGZhwFc_zuz3DeuLQfE01Er5xc059ZTYT_jTmWsH8ZIqKABmMxd6zyHISqoiL7Dd0FtNczrB4g=s0,papier,[],405 x 535,Daniël Dupré
Wandplaat met leeuwenkop voor een wandluchter,https://lh3.googleusercontent.com/6YYbnL7nn7yJbJBFB1q_vuHbcZdWd5bb8G3FCCd7y3CH7ECtqlciqgERGebZeiUcbQBfnkY5RDggbbq1q9sw8i7cwPxGvWW0RBTtadD_vQ=s0,messing,[],"18,9 x 14,9",anoniem
Allegorie op Cosimo III de' Medici in monumentale omlijsting (deel linksboven),https://lh3.googleusercontent.com/KLrtGQigyUxOOfy-LcCXBJj7a_-zyv8cfZ-ZitY1ygJV1y9FSQ0KxJjAUsbCqnw1klaj1VmcKvLZFlfDA8b7-h37_cI=s0,papier,[],577 x 280,François Spierre
Gezicht op de Fontaine du Palmier te Parijs,https://lh3.googleusercontent.com/pXey40BzVjsyFvY21879zpdMnbFaeW5irkYBTeUsKtpUmq55U0gWWVOe4AUc44t0cijSseqRMmVx03ihKA7tg-WWiVo=s0,karton,[],85 x 170,Charles Gérard
"Groep van 14 foto's van Midden- en Zuid-Sumatra, ca. 1900-1940",,fotodrager,[],85 x 170,anoniem
Gezicht op de haven van Villefranche-sur-Mer,https://lh3.googleusercontent.com/yhyeIpEXFwyB1RFrWmWyDgFxh10s9rzNu7bTDpTPe3ShlA8JBar7VGrFhbvp5qCdI-JispzPvRW21t8GZT_-KnHb-Q=s0,karton,[],108 x 164,anoniem
Gezicht op de Dom van Keulen (oostzijde),,papier,[],145 x 100,anoniem
"Soldaten, paarden en kanonnen in rookwolken gehuld in Frankrijk",https://lh3.googleusercontent.com/4e6psdcm1rVmI0hNkYdzsUaw8slIbJ7AZEMMPJsOa9ARa5BUFbZwnrP6LOag4L3VXoF2vWPhULECNRIZGjhpQsZjVg=s0,papier,[],119 x 169,anoniem
"Landschap langs de Samber, een ruiter met twee paarden in het water naast een man met een hond",https://lh3.googleusercontent.com/lSsGHqhKiGyS0cyvnsFR0RRuJ529yxtENqgTcAXZ0VliPQTNOVwWNOwqo05LgeXeTHxH8nVG0JBeEXyO9jdXJspEA1UEy2bGymwyRWY=s0,papier,[],351 x 405,Jean Théodore Joseph Linnig
De poppen-kast / Vierde stuk: Janklaassen en de duivel,https://lh6.ggpht.com/T09y1Ly1qmupoaQnQfWFQMfAG1cUd3ECVA9_WXFeR05GdN6071rrl_atAkbBJcL5mACfZlffsDLSqGVzkAgdkCxYESSW=s0,papier,[],441 x 348,C. Reinhardt
"H. Benedictus wijst een monnik op zijn trotse gedachten, in een cartouche",,papier,[],257 x 180,Sébastien Leclerc (I)
"Capitulatie van Nederland, 14 mei 1940, door generaal Winkelman",https://lh3.googleusercontent.com/7fEAMm2ku1ClNIYqnoEKPIqfrbkvF8D9ZeTtp9TJZ-HBAiQV2TuJJyn7RGQsu9NJOxhRuRSKROzenWZODBJc4t1XQU4MeJ754HIqeDU6MQ=s0,brons,"[{'percentage': 56, 'hex': '#2F4F4F'}, {'percentage': 18, 'hex': ' #000000'}, {'percentage': 17, 'hex': ' #F6ECF3'}, {'percentage': 4, 'hex': ' #B5BFCC'}, {'percentage': 2, 'hex': ' #737C84'}]","7,7 x 10,6",anoniem
"Gallerie des Modes et Costumes Français, 1785, nr. 21, nr. 41, Kopie naar V 123 : Jeune dame coëffé d'un chapeau Anglais (...)",https://lh3.googleusercontent.com/ZaN6P9SeVoS9uhhE5E1Vcv4I-w2R9BbyaB3GaqHA5QxUiYsE6neusEpBnpI_eD4v9GbbBLMY5o-M6gueysq0HSUwMSk=s0,papier,[],177 x 111,Pierre Gleich
Christuskind als Salvator Mundi,https://lh3.googleusercontent.com/Wk_N2RUSCg-a8TGh-naoqce-DCLuCHJq5VWZJcw-ukFM1_23arVK3yE1BfdTXaXFXYH5_NEAYwJnCSxnkoubqPviVrPo=s0,papier,[],94 x 61,Hieronymus Wierix
"Portret van Isabella Clara Eugenia, infante van Spanje",https://lh4.ggpht.com/W70gx5QBl9anHP_VuXPMhBXBTn2TShG-cBtaInw_MA5COgvyqz69vvSS0maBxB9piGIvxRvzZVlkodP0FpsXV9vb3w=s0,papier,[],145 x 110,Crispijn van de Passe (I)
"Portret van Willem I Frederik, koning der Nederlanden",https://lh3.googleusercontent.com/UtjXTvpnw4sI4HRoaqHjGQecP_qKVUcCBElE1GEaUAFsG4HoW6k22o_QOF2HRu1vJwU4asFI4XTsaQyRH4MjCYDOsT4=s0,papier,[],108 x 94,anoniem
"Gezicht op het dorp Grootebroek, 1726",,papier,[],80 x 102,Hendrik Spilman
"Portret van Andrew Donaldson, schoolmeester in Dunfermline",https://lh3.googleusercontent.com/T3XtYmnbXqV9ZPvTGkYXVxJoN3rqoY6DSZIsx7pnSM2uSBFsQt229DSIiuL6As7HxBEH_ibzCLOQZmHYLjHJgQpOU_M=s0,papier,[],114 x 81,John Kay
De strijders geboren uit de tanden van de draak,https://lh3.googleusercontent.com/lb7Tftl7yS6qCTI92ZFmDzfTnYbiEMPIDliG9ICSU7d7eRBT9gIlL9b0IhS42Si2nr0G5s-tdEyP1_lcOYibzcmvA5oF42HEiur0ueb0=s0,papier,[],104 x 118,Antonio Tempesta
"Deel van de optocht, nr. 11",https://lh6.ggpht.com/I_-ObOPQqIMdfhT46Jml9fb7P-lMSTXuHug5mZXwB1rD8wvZ3WyrHxOb7z6wXjjVozkjNnDD9MYDi9ac8IG3FUqYBO8=s0,papier,[],240 x 333,Joannes van Doetechum (I)
Portret van Andreas Lemp,,papier,[],213 x 137,Andreas Kohl
Vrouwen verzamelen schelpdieren op het strand,https://lh3.googleusercontent.com/B_7bKMPCmcA1S-pz0vbmOVp9t7erOKLdke1qE672GBEdi48pR6zygw9xdBB2aPKF-ynwLBMUblWuM8mYCz0wPHR7qkZX=s0,fotodrager,[],89 x 128,anoniem
"Gezicht op de achtergevel van het Corvershof te Amsterdam, bestaande uit twee delen",https://lh3.googleusercontent.com/VDh5B26obVXwRigXuKtVNWB1t4IbfS-BZeu0CFfkMkmgJFIEUTD5nsCTsl0xF7UxyG_7zumndBl6NdcfIQ0LCQaIq9TugiPvMyuCPYwf=s0,papier,[],608 x 900,Jan Smit (I)
Landschap met twee mannen,https://lh5.ggpht.com/Mw2vC5qylDCSahYj2kh3S8UBdPJmiHjdbAXZbLViljehKNnzzqWN3ASnE028oEHRX_2ZhDH6opGs_qSvfBEEKA1PQw=s0,papier,[],191 x 301,Jean Bernard
Reizigers te paard in de Píndhos Óros,,papier,[],634 x 469,Louis Dupré
Portret van een zittende man met snor en baard,,karton,[],138 x 97,anoniem
Servet met wapenfeiten uit de Spaanse successieoorlog,https://lh3.googleusercontent.com/8pJb3BkCI6wjeIzICFv0v0KDE-8_OuK94dTliJPndTu9memc5E2-C-CP_XfT9R-TWKoeZCgHIzXu3Az8NQQlS_a8RE85XoXhkoeD7_Oz1g=s0,linnen,[],"96 x 72,5",anoniem
Portret van een man met arm voor zijn borst,https://lh3.googleusercontent.com/rIqBA57XoaLzD9OJwtnnUM5_itFP1sctFnU64NLXW42F_cHZsHQMrQIJHiO3XGe0Xvl3qfOSqgaNZVrwM375fTCkljn_3VbWNRBK-C6T=s0,papier,[],265 x 180,David Pièrre Giottino Humbert de Superville
"Portret van de theoloog Dirck Rafaelsz Camphuysen, omgeven door allegorische figuren",https://lh5.ggpht.com/L3QZ2mdjcruUhtjRB6S880Etis0vtohGog0UrIKz_f3t7QpNhDeuYbRz7qhWQrHk5sdaUnw0QPeUhsuBORHSxvmM-g=s0,papier,[],236 x 187,Salomon Savery
Tsaar Nicolaas II van Rusland en zijn gevolg te paard te Krasnoye Selo,https://lh3.googleusercontent.com/m4Q17fo0duSHxTXYyV2HIy0_CTTB7_T1RwWqHQoTkpxOY5G2ow-SByKd5rsTgHPDKBPrdTAQLyNl9oYqXN2bA2LoLZoj=s0,papier,[],39 x 112,anoniem
Drie soorten zeewier,https://lh3.googleusercontent.com/17qHvayEQqV_GjEu8CYYM0_qv5iVZE2TaAN0_XekSADEAkypyolRHNDgLifjQiU2cxVmNXm1hoXfGNH7N3N6-afUw2g=s0,papier,[],161 x 119,anoniem
Drie Wehrmacht militairen,https://lh5.ggpht.com/ITO76XnQu7qBzyks4cUyIfM4nEtcjnPpM7zhVI42SbIw8jRSJKPWyrRYjGNqw7eV6K9lTkFCRYQP8S0lJnVjXoEqf4M=s0,fotodrager,"[{'percentage': 40, 'hex': '#2F4F4F'}, {'percentage': 28, 'hex': ' #000000'}, {'percentage': 24, 'hex': ' #737C84'}, {'percentage': 3, 'hex': ' #FBF6E1'}, {'percentage': 1, 'hex': ' #E0CC91'}]",6 x 5,anoniem
